,name company,count blogs in mart,badges,rating,subscribers
126,РосКомСвобода,0,Нет,71.73,497
127,Rambler&Co,0,Нет,71.71,34000.0
128,Pixonic,0,Нет,70.39,31000.0
129,Банк РНКБ,0,Нет,70.07,60
130,HFLabs,1,Нет,69.76,16000.0
131,ГК ITGLOBAL.COM,3,Нет,69.11,112
132,«Актив»,0,Нет,68.87,42000.0
133,Android Broadcast,1,Нет,68.19,179
134,Банк «Открытие»,3,Нет,67.66,185
135,Surf,1,Нет,65.75,17000.0
136,Циан,3,Нет,65.6,337
137,Okko,2,Нет,65.38,43000.0
138,Wunder Fund,3,Нет,65.37,821
139,Qrator Labs,0,Нет,65.27,37000.0
140,Recognitor,0,Нет,64.6,37000.0
141,Leader-ID,0,Нет,64.1,19000.0
142,Plesk,0,Нет,63.82,13000.0
143,НТЦ Вулкан,0,Нет,60.96,24000.0
144,Северсталь,1,Нет,60.95,222
145,Flipper Devices Inc.,0,Нет,60.89,19000.0
146,Garage Eight,1,Нет,60.54,67
147,Уральский центр систем безопасности,3,Нет,59.69,13
148,Serverspace,1,Нет,59.53,52
149,Хекслет,0,Нет,58.72,25000.0
150,ITT Solutions,0,Нет,58.56,16000.0
151,ГК «Астра»,1,Нет,58.21,338
152,Swordfish Security,1,Нет,57.26,145
153,Breakpoint,0,Нет,56.99,36
154,Smart Engines,2,Нет,56.95,306
155,NAUMEN,1,Нет,56.62,363
156,1С,0,Нет,56.57,1800.0
157,СВД ВС,0,Нет,56.32,24
158,R-Vision,2,Нет,56.24,126
159,Московский кредитный банк,3,Нет,55.23,185
160,Юла,0,Нет,54.63,249
161,LampTest,0,Нет,54.46,55000.0
162,Click.ru,1,Нет,53.28,9400.0
163,Zextras,3,Нет,53.27,13000.0
164,Киберпротект,2,Нет,52.83,71
165,Лахта Центр,0,Нет,51.48,35000.0
166,Joom,1,Нет,51.39,190
167,Quadcode,0,Нет,51.25,171
168,Магнит,2,Нет,51.18,291
169,Arcadia,0,Нет,51.16,270
170,AliExpress Россия,1,Нет,50.84,393
171,Nubes,1,Нет,50.71,42
172,BIOCAD,1,Нет,50.71,87
173,Доктор Веб,0,Нет,50.64,767
174,inDrive.Tech,0,Нет,50.54,241
175,Росбанк,0,Нет,50.05,228
176,Axenix (ex-Accenture),1,Нет,49.89,199
177,Сервер Молл,0,Нет,49.35,7500.0
178,Delivery Club Tech,0,Нет,49.18,383
179,Vivaldi Technologies AS,0,Нет,48.47,23000.0
180,STM Labs,3,Нет,48.41,69
181,ЕВРАЗ,1,Нет,48.34,90
182,Ak Bars Digital,1,Нет,47.92,119
183,Почтатех,0,Нет,47.85,324
184,Exness,0,Нет,47.79,178
